OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
392,2,392,181000,1810.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,3,Metro Planning Area,6056829.75390625,13924.6230308168
393,2,393,181300,1813.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,3,Metro Planning Area,2108680.125,7910.21297418287
394,1,394,181400,1814.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1286522.70703125,5315.10478286823
395,2,395,181500,1815.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,7,Metro Planning Area,1601306.51953125,6595.395568431
396,1,396,181600,1816.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1828892.765625,6616.75340855529
397,2,397,183101,1831.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,7,Metro Planning Area,1415950.328125,6283.55270576428
398,2,398,183103,1831.03,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,7,Metro Planning Area,962200.8515625,7259.6436688526
399,2,399,183104,1831.04,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,7,Metro Planning Area,975406.6171875,5929.32282956132
400,1,400,183220,1832.20,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,782907.87109375,4907.7701318877
401,1,401,183221,1832.21,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1033931.21875,4729.55114137552
402,1,402,183222,1832.22,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1358716.1640625,6229.03308056125
403,1,403,183300,1833.00,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,791809.51953125,3784.3358819274
404,1,404,183401,1834.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,709943.79296875,3864.19637608565
405,1,405,183402,1834.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,751156.6015625,4138.82436401828
406,1,406,183510,1835.10,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,731936.7265625,3853.1913702378
407,1,407,183520,1835.20,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,625490.921875,3382.65557358148
408,1,408,183610,1836.10,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,553778.46484375,3617.14045816014
409,1,409,183620,1836.20,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,756837.76953125,3481.86151291593
410,1,410,183701,1837.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,805591.41796875,4619.61320531949
411,2,411,183702,1837.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,7,Metro Planning Area,1304976.7421875,6308.22323765477
412,1,412,183810,1838.10,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,665251.75,3792.21286936302
413,1,413,183820,1838.20,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,451309.48046875,3864.88163447114
414,1,414,185101,1851.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1191799.68359375,6879.85997985605
415,1,415,185102,1851.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,2139205.796875,10202.1537661876
416,1,416,185202,1852.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1762650.88671875,6417.94009496183
417,1,417,185203,1852.03,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,801363.078125,4403.72031807517
418,1,418,185204,1852.04,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,LOS ANGELES,,INCORPORATED CITY,9,Metro Planning Area,1408990.63671875,6398.25740833847
