OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1222,2,1222,402404,4024.04,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WALNUT ISLANDS,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,5974927.613,13183.7503
1250,1,1250,403325,4033.25,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,SOUTH DIAMOND BAR,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,24942594.87,30915.1552
1261,2,1261,403500,4035,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WALNUT ISLANDS,WALNUT ISLANDS,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,7184811.367,13788.50938
1271,2,1271,404000,4040,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,COVINA ISLANDS,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1932501.113,5941.924886
1272,1,1272,404100,4041,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,COVINA ISLANDS,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1972686.594,5985.005607
1274,2,1274,404203,4042.03,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,COVINA ISLANDS,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,943456.7695,3904.618938
1301,1,1301,405400,4054,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,EAST IRWINDALE,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1942521.422,7493.392325
1304,1,1304,405701,4057.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,EAST IRWINDALE,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1526029.27,5394.739723
1320,1,1320,406903,4069.03,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WEST PUENTE VALLEY,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,2865100.379,7330.962064
1321,1,1321,407001,4070.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WEST PUENTE VALLEY,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1449142.891,5210.113023
1327,1,1327,407301,4073.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WEST PUENTE VALLEY,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1444942.488,5672.121337
1328,1,1328,407302,4073.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,WEST PUENTE VALLEY,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1173592.891,4525.922704
1330,1,1330,407501,4075.01,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,VALINDA,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1651991.082,6276.025902
1331,1,1331,407502,4075.02,1ST SUP. DISTRICT,1ST DISTRICT: HILDA L. SOLIS,1,VALINDA,,UNINCORPORATED AREA,6,East San Gabriel Valley Planning Area,1503691.84,5796.014239
