Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,Asthma
6037204920,2751,Los Angeles,90023,Los Angeles,-118.1974975,34.0175004,76.1
6037542402,3306,Los Angeles,90221,Compton,-118.2124134,33.881969,86.77
6037543202,5124,Los Angeles,90220,Compton,-118.230032,33.8798617,114.33
6037203300,2000,Los Angeles,90033,Los Angeles,-118.2077883,34.0588723,65.53
6037291220,3640,Los Angeles,90247,Los Angeles,-118.286709,33.8771395,64.77
6037433501,1949,Los Angeles,91733,South El Monte,-118.0651222,34.0572554,65.92
6037243100,6772,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,129.2
6037227010,5705,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,68.48
6037226001,2615,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,72.02
6037433101,2464,Los Angeles,91731,El Monte,-118.0605567,34.0686907,60.57
6037239202,5999,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,84.75
6037206050,2031,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,51.49
6037205120,3548,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,76.1
6037226002,1820,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,134.16
6037536104,3900,Los Angeles,90280,South Gate,-118.1782284,33.9448778,50.83
6037104703,2174,Los Angeles,91331,Los Angeles,-118.4005905,34.2552325,77.81
6037240500,7326,Los Angeles,90003,Los Angeles,-118.275663,33.9469248,113.88
6037535400,3553,Los Angeles,90002,Florence-Graham,-118.2314205,33.947117,101.27
6037291210,5768,Los Angeles,90247,Los Angeles,-118.2870814,33.8886904,70.46
6037570403,4832,Los Angeles,90805,Long Beach,-118.2044859,33.8778668,84.23
6037532302,4881,Los Angeles,90023,Commerce,-118.1751711,34.0096885,56.57
6037542200,7155,Los Angeles,90221,Compton,-118.1971508,33.8868935,92.82
6037534202,5748,Los Angeles,90201,Bell Gardens,-118.1611103,33.959603,54.25
6037531302,6215,Los Angeles,90023,East Los Angeles,-118.1827241,34.0169019,62.39
6037242600,4756,Los Angeles,90059,Los Angeles,-118.2502423,33.932376,136.47
6037242700,6035,Los Angeles,90059,Los Angeles,-118.2426486,33.9363535,110.5
6037206032,5687,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,79.94
6037542401,4735,Los Angeles,90221,Compton,-118.2109036,33.8923624,95.67
6037203500,2907,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,81.13
6037239201,3753,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,113.88
6037219902,3809,Los Angeles,90016,Los Angeles,-118.368517,34.02931,88.26
6037534201,4768,Los Angeles,90201,Bell Gardens,-118.1672627,33.9580353,54.25
6037540700,3230,Los Angeles,90059,Willowbrook,-118.2453429,33.9255436,120.42
