GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037101110,4926,3065,74,53,440,10,743,541
6037101122,3728,2723,31,28,404,0,211,331
6037101220,3344,1901,42,40,358,1,625,377
6037101221,3444,2009,87,20,248,3,734,343
6037101222,2808,1551,94,62,148,0,650,303
6037101300,4269,3347,28,9,353,2,155,375
6037101400,3898,2712,44,32,324,3,334,449
6037102103,2107,1485,48,4,148,7,200,215
6037102104,3906,2857,84,15,401,1,171,377
6037102105,1855,718,27,42,178,0,501,389
6037102107,3984,2547,91,26,242,3,650,425
6037103101,2712,1980,26,23,193,6,178,306
6037103102,4752,3220,25,32,439,5,525,506
6037103201,4676,2645,119,69,287,5,900,651
6037103202,2026,1081,132,31,131,4,376,271
6037103300,3953,2791,55,18,236,3,378,472
6037103401,2516,1704,38,18,250,0,248,258
6037103402,4075,2574,65,30,285,2,602,517
6037104103,3811,683,395,47,258,15,1568,845
6037104105,5999,1046,301,96,421,3,3060,1072
6037104108,5829,924,486,135,214,1,2961,1108
6037104124,4333,1662,402,66,263,15,1191,734
6037104201,4377,517,324,99,64,1,2547,825
6037104203,4874,681,219,128,110,1,2961,774
6037104204,3304,614,199,46,230,2,1598,615
6037104310,4396,618,116,138,30,2,2535,957
6037104321,3009,396,95,105,87,1,1703,622
6037104322,2233,299,112,65,34,3,1267,453
6037104401,3022,428,23,92,16,2,1851,610
6037104403,2947,416,17,89,80,0,1887,458
6037104404,3082,544,29,87,30,0,1848,544
6037104500,3151,604,22,76,49,4,1830,566
6037104610,3645,680,57,78,37,4,2141,648
6037104620,3200,579,18,64,29,0,1848,662
6037104701,4601,934,141,81,44,0,2581,820
6037104703,2572,466,104,37,109,0,1361,495
6037104704,4760,972,424,93,242,3,2212,814
6037104821,3498,558,58,54,134,5,2154,535
6037104822,2345,281,25,89,160,5,1387,398
6037104823,3024,555,40,46,385,14,1382,602
6037104824,2207,390,23,48,42,1,1318,385
6037106010,3390,925,130,69,201,4,1314,747
6037106020,5557,1460,94,137,214,2,2469,1181
6037106111,4331,1408,156,103,348,0,1496,820
6037106112,6201,1502,166,190,550,3,2530,1260
6037106113,3939,1010,106,73,285,0,1618,847
6037106114,6643,1158,255,206,448,14,3348,1214
6037106403,3704,660,22,121,93,1,2025,782
6037106405,3968,848,178,84,168,4,1921,765
6037106406,6173,1624,190,116,409,3,2628,1203
6037106407,2909,601,217,62,94,1,1547,387
6037106408,3440,548,83,105,112,0,2025,567
6037106510,5791,1516,308,123,459,3,2239,1143
6037106520,5670,1331,76,133,95,1,2881,1153
6037106603,2998,1788,91,17,572,4,179,347
6037106604,5378,1112,209,150,226,9,2665,1007
6037106641,2330,1599,40,12,382,1,88,208
6037106642,3316,1947,100,27,436,2,332,472
6037106643,4084,2639,148,23,701,0,190,383
6037106645,3501,2260,104,7,469,1,260,400
6037106646,3367,1543,105,15,701,4,500,499
6037106648,4815,849,135,133,150,10,2623,915
6037106649,2754,521,66,77,497,1,1056,536
6037107010,3205,579,27,98,66,0,1836,599
6037107020,5488,1075,82,103,370,0,2700,1158
6037108101,2324,1332,78,5,578,3,108,220
6037108102,3795,1972,83,5,1236,0,160,339
6037108103,3190,1888,48,4,817,0,137,296
6037108104,1692,975,48,1,416,0,72,180
6037108202,8701,3019,400,31,4009,4,333,905
6037108203,3577,1482,143,13,1542,8,133,256
6037108204,1857,667,55,3,948,0,61,123
6037109100,2958,1084,83,59,289,3,903,537
6037109200,3153,1155,154,43,627,8,695,471
6037109300,3120,1117,122,45,486,11,734,605
6037109400,3752,922,88,145,315,12,1518,752
6037109500,4524,686,68,220,135,5,2451,959
6037109601,4958,1154,152,92,489,7,2111,953
6037109603,4203,1080,146,120,518,6,1507,826
6037109604,2938,843,94,62,276,1,1089,573
